"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 11 11:10:40 GMT 2024","Thu Jan 11 11:11:14 GMT 2024","33978","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","suppliersPageTest","suppliersPageTest",""
"passed","Tue Feb 06 13:36:30 GMT 2024","Tue Feb 06 13:36:46 GMT 2024","16029","Default Suite","KhademStoreProject -","khademStore.testCases.ItemsPageTest","khademStore.testCases.ItemsPageTest","delete_Items__Test","Delete item added",""
"passed","Tue Jan 09 08:12:15 GMT 2024","Tue Jan 09 08:12:29 GMT 2024","13881","Surefire suite","Surefire test","khademStore.testCases.ItemsPageTest","khademStore.testCases.ItemsPageTest","delete_Items_Valid_Test","Delete item added",""
"passed","Tue Dec 26 12:54:01 GMT 2023","Tue Dec 26 12:54:17 GMT 2023","16605","Surefire suite","Surefire test","khademStore.testCases.ItemRecievedRecordTest","khademStore.testCases.ItemRecievedRecordTest","search_Valid_Test","Search Valid Test",""
"passed","Tue Jan 09 08:11:56 GMT 2024","Tue Jan 09 08:12:13 GMT 2024","16531","Surefire suite","Surefire test","khademStore.testCases.ItemsPageTest","khademStore.testCases.ItemsPageTest","Edit_Items_Valid_Test","Click on edit button ",""
"passed","Tue Jan 09 08:10:53 GMT 2024","Tue Jan 09 08:11:10 GMT 2024","16178","Surefire suite","Surefire test","khademStore.testCases.ItemRecievedRecordTest","khademStore.testCases.ItemRecievedRecordTest","copy_The_Record_valid_Test","Copy the record valid test ",""
"passed","Tue Jan 09 08:11:43 GMT 2024","Tue Jan 09 08:11:55 GMT 2024","11536","Surefire suite","Surefire test","khademStore.testCases.ItemsPageTest","khademStore.testCases.ItemsPageTest","search_Valid_Test","Valid search without Filters",""
"passed","Thu Feb 01 12:24:54 GMT 2024","Thu Feb 01 12:25:26 GMT 2024","32261","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","StatisticalReceivedRecordReportTest","StatisticalReceivedRecordReportTest",""
"passed","Mon Jan 08 15:33:17 GMT 2024","Mon Jan 08 15:33:31 GMT 2024","13762","Surefire suite","Surefire test","khademStore.testCases.ItemsPageTest","khademStore.testCases.ItemsPageTest","delete_Item_Valid_Test","Delete item added",""
"passed","Thu Feb 01 12:23:36 GMT 2024","Thu Feb 01 12:23:49 GMT 2024","13198","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","storesCuratorPageTest","storesCuratorPageTest",""
"passed","Tue Jan 09 08:10:33 GMT 2024","Tue Jan 09 08:10:51 GMT 2024","17871","Surefire suite","Surefire test","khademStore.testCases.ItemRecievedRecordTest","khademStore.testCases.ItemRecievedRecordTest","Edit_Record_valid_Test","Edit record valid test ",""
"passed","Thu Feb 01 12:22:30 GMT 2024","Thu Feb 01 12:22:45 GMT 2024","14938","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","suppPageTest","suppPageTest",""
"passed","Tue Jan 09 08:11:28 GMT 2024","Tue Jan 09 08:11:41 GMT 2024","13196","Surefire suite","Surefire test","khademStore.testCases.ItemsPageTest","khademStore.testCases.ItemsPageTest","items_Added_Valid_Test","Make a New Valid Item ",""
"passed","Tue Jan 09 08:13:45 GMT 2024","Tue Jan 09 08:13:53 GMT 2024","7532","Surefire suite","Surefire test","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","employeesPageValidTest","employeesPageValidTest",""
"passed","Tue Dec 26 09:05:49 GMT 2023","Tue Dec 26 09:06:27 GMT 2023","37999","Default Suite","KhademStoreProject","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","recordValidTest","recordValidTest",""
"broken","Tue Feb 20 13:31:40 GMT 2024","Tue Feb 20 13:31:40 GMT 2024","1","Surefire suite","Surefire test","khademStore.testCases.TestForTest","khademStore.testCases.TestForTest","citiesPageTest","citiesPageTest",""
"passed","Tue Jan 09 08:14:22 GMT 2024","Tue Jan 09 08:14:30 GMT 2024","7661","Surefire suite","Surefire test","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","financialYearPageValidTest","financialYearPageValidTest",""
"passed","Tue Feb 20 09:54:37 GMT 2024","Tue Feb 20 09:54:55 GMT 2024","18379","Surefire suite","Surefire test","khademStore.testCases.ItemRecievedRecordTest","khademStore.testCases.ItemRecievedRecordTest","search_Feature__Test","Search Feature  Test",""
"passed","Tue Jan 09 08:13:54 GMT 2024","Tue Jan 09 08:14:02 GMT 2024","7680","Surefire suite","Surefire test","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","storesPageValidTest","storesPageValidTest",""
"passed","Mon Jan 08 15:47:32 GMT 2024","Mon Jan 08 15:47:58 GMT 2024","25553","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","reportValidTest","reportValidTest",""
"passed","Tue Jan 09 08:13:18 GMT 2024","Tue Jan 09 08:13:26 GMT 2024","7936","Surefire suite","Surefire test","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","supplierWorkAreaPageValidTest","supplierWorkAreaPageValidTest",""
"passed","Mon Feb 19 08:13:54 GMT 2024","Mon Feb 19 08:14:18 GMT 2024","23359","Default Suite","KhademStoreProject -","khademStore.testCases.ItemRecievedRecordTest","khademStore.testCases.ItemRecievedRecordTest","items_Received_Record__Test"," item Received Record  Test",""
